Modulo,Ruta,Titulo,Tipo,EstadoSistema,BacklogID
Contabilidad,/con-reporte-balance-comprobacion-mes,Balance de Comprobacion por mes,Reporte,En sistema,CF-01
Contabilidad,/con-reporte-balance-general-vertical,Balance General vertical,Reporte,En sistema,CF-01
Bancos,/ban-cuenta-bancaria,Cuentas Bancarias,Catalogo,En sistema,CF-02
Bancos,/ban-tipo-cheque,Tipos de Cheques,Catalogo,En sistema,CF-02
Bancos,/ban-tipo-movi-bancario,Tipos de Movimientos Bancarios,Catalogo,En sistema,CF-02
Bancos,/ban-linea-trabajo-conciliacion,Lineas Trabajo Conciliacion,Catalogo,En sistema,CF-04
Bancos,/ban-parametro,Parametros Bancarios,Configuracion,En sistema,CF-02
Bancos,/ban-cheque,Cheques,Proceso,En sistema,CF-02
Bancos,/ban-cheque-aplicar,Cheques a Aplicar,Proceso,En sistema,CF-02
Bancos,/ban-cheque-imprimir,Cheques a Imprimir,Proceso,En sistema,CF-02
Bancos,/ban-cheque-anular,Cheques a Anular,Proceso,En sistema,CF-02
Bancos,/ban-documento,Documentos Bancarios,Proceso,En sistema,CF-02
Bancos,/ban-documento-aplicar,Documentos Bancarios a Aplicar,Proceso,En sistema,CF-02
Bancos,/ban-documento-anular,Documentos Bancarios a Anular,Proceso,En sistema,CF-02
Bancos,/ban-documento-contabilizar,Contabilizar Documentos Bancarios,Proceso,En sistema,CF-02
Bancos,/ban-soli-cheque,Solicitud de Cheques,Proceso,En sistema,CF-02
Bancos,/ban-soli-cheque-autoriza,Autorizar Solicitud de Cheques,Proceso,En sistema,CF-02
Bancos,/ban-concilia-bancaria,Conciliacion Bancaria,Proceso,En sistema,CF-04
Bancos,/ban-reporte-cheque-emitidos,Reporte de Cheques Emitidos,Reporte,En sistema,CF-02
Bancos,/ban-reporte-estado-cuenta,Disponibilidad Bancaria Auxiliar,Reporte,En sistema,CF-02
Bancos,/ban-reporte-estado-cuenta-acumulado,Disponibilidad Bancaria,Reporte,En sistema,CF-02
Bancos,/ban-reporte-entrega-cheques,Reporte de Cheques Entregados,Reporte,En sistema,CF-02
Seguridad,/seg-opcion-sistema,Opciones del Sistema,Administracion,En sistema,
Seguridad,/seg-config-opcion,Configuracion de Opciones,Administracion,En sistema,
Seguridad,/seg-usuario,Usuarios,Administracion,En sistema,
Seguridad,/seg-tipo-usuario,Tipo Usuario,Administracion,En sistema,
Seguridad,/seg-flujo-tipo-documento,Documentos (flujos),Flujos,En sistema,TH-01
Seguridad,/seg-flujo-actor,Actores de flujos,Flujos,En sistema,TH-01
Seguridad,/seg-flujo-proceso,Flujos del sistema,Flujos,En sistema,TH-01
Seguridad,/profile,Perfil,Portal,En sistema,
General,/gen-rubro,Rubro,Catalogo,En sistema,
General,/gen-tipo-gasto,Tipo Gasto,Catalogo,En sistema,
General,/gen-tipo-documento,Tipo Documento,Catalogo,En sistema,
General,/gen-sector-economico,Sector Economicos,Catalogo,En sistema,
General,/gen-empresa,Empresas,Catalogo,En sistema,
General,/gen-estructura-territorial,Estructura Territorial,Catalogo,En sistema,
General,/gen-division,Divisiones,Catalogo,En sistema,
General,/gen-gerencia,Gerencias,Catalogo,En sistema,
General,/gen-banco,Bancos,Catalogo,En sistema,
General,/gen-unidades-puesto,Asignacion de Puestos a Unidades,Catalogo,En sistema,TH-04
